#latitude	longitude	dummy
48.09884	-114.64836	0
48.095509	-123.302598	0
48.095166	-116.106216	0
48.093164	-92.878602	0
48.09275716	-121.8143463	0
48.090763	-119.785136	0
48.088737	-122.929931	0
48.087712	-121.749115	0
48.08725332	-120.5021667	0
48.08541858	-121.5211487	0
48.08541858	-124.2553711	0
48.084527	-123.204912	0
48.0843	-116.2256	0
48.08358377	-124.0933228	0
48.082721	-115.141549	0
48.08083143	-113.6755371	0
48.079788	-123.119657	0
48.079632	-123.100609	0
48.077576	-123.160274	0
48.07349114	-120.4870605	0
48.07314704	-120.8525276	0
48.07257353	-121.7353821	0
48.07211472	-121.7079163	0
48.06893	-123.92026	0
48.06477319	-120.8408546	0
48.0644	-124.2693	0
48.06339654	-115.6283569	0
48.06156094	-115.9194946	0
48.06087258	-120.8379364	0
48.05697167	-116.4523315	0
48.05605376	-121.5060425	0
48.05513584	-120.8345032	0
48.05162	-119.903267	0
48.051051	-92.841505	0
48.050546	-115.6008911	0
48.050546	-120.4486084	0
48.04870994	-120.3730774	0
48.04595574	-120.9814453	0
48.04192	-123.42405	0
48.04136507	-113.3377075	0
48.03815137	-121.468277	0
48.03769225	-120.4238892	0
48.03504	-92.91594	0
48.03401916	-121.7884254	0
48.03356	-121.8020725	0
48.03149	-122.75882	0
48.03034581	-114.8620605	0
48.03034581	-115.8343506	0
48.028593	-115.855198	0
48.02437605	-120.2858734	0
48.02299832	-113.5519409	0
48.01955383	-120.6212997	0
48.01943	-123.58986	0
48.01909454	-120.8310699	0
48.01656841	-120.8187103	0
48.01415699	-120.6128883	0
48.013607	-119.679267	0
48.01197513	-120.8894348	0
48.01140094	-120.6092834	0
48.01128	-116.71174	0
48.0107119	-121.2586784	0
48.01059706	-123.2975006	0
48.0101377	-120.9141541	0
48.009356	-119.670067	0
48.00669234	-120.8139038	0
48.0041656	-123.2762146	0
48.00370618	-113.5821533	0
48.00066	-114.05832	0
48.00003067	-120.8111572	0
47.99509129	-120.591774	0
47.9935979	-115.3564453	0
47.99221934	-120.319519	0
47.99	-119.725	0
47.98992167	-124.203186	0
